"abandon"  "aufgeben"	
"applicable"	"anwendbar"	"(effects, replacement effects)"
"Apply (to)"	"Gelten (für)"	"continuous effects"
"casual variant"	"Freizeitspiel-Variante"	
"choose "	"bestimmen"	"(targets, creature types, etc.)"
"create "	"erzeugen"	"(replacement/continuous effects)"
"declare"	"ansagen"	
"determine "	"ermitteln"	
"game"	"Partie"	"(win/lose/start the game)"
"generate"	"generieren"	
"grant"	"verleihen"	"(abilities)"
"immediately"	"sofort"	
"is subject to"	"unterliegt"	"(rules)"
"mandatory "	"verpflichtend"	"(action, payment, choice, etc.)"
"marked"	"verzeichnet"	"(damage) Schaden wird auf einer Kreatur verzeichnet"
"ongoing"	"andauernd"	
"priority"	"Priorität"	
"requirement"	"Voraussetzung"	
"scheme"	"Komplott"	
"turn order "	"Zugreihenfolge"	
